year,month,size,count
2016.0,6.0,6.5<9.5kW,498
2016.0,6.0,9.5<14kW,333
2016.0,6.0,14<25kW,204
2016.0,6.0,25<=100kW,201
2016.0,7.0,<2.5kW,1296
2016.0,7.0,2.5<4.5kW,3232
2016.0,7.0,4.5<6.5kW,4373
2016.0,7.0,6.5<9.5kW,517
2016.0,7.0,9.5<14kW,346
2016.0,7.0,14<25kW,181
2016.0,7.0,25<=100kW,188
2016.0,8.0,<2.5kW,1472
2016.0,8.0,2.5<4.5kW,3588
2016.0,8.0,4.5<6.5kW,5057
2016.0,8.0,6.5<9.5kW,560
2016.0,8.0,9.5<14kW,361
2016.0,8.0,14<25kW,222
2016.0,8.0,25<=100kW,203
2016.0,9.0,<2.5kW,1229
2016.0,9.0,2.5<4.5kW,3452
2016.0,9.0,4.5<6.5kW,5207
2016.0,9.0,6.5<9.5kW,569
2016.0,9.0,9.5<14kW,397
2016.0,9.0,14<25kW,216
2016.0,9.0,25<=100kW,242
2016.0,10.0,<2.5kW,1300
2016.0,10.0,2.5<4.5kW,3170
2016.0,10.0,4.5<6.5kW,5181
2016.0,10.0,6.5<9.5kW,603
2016.0,10.0,9.5<14kW,387
2016.0,10.0,14<25kW,184
2016.0,10.0,25<=100kW,234
2016.0,11.0,<2.5kW,1371
2016.0,11.0,2.5<4.5kW,4098
2016.0,11.0,4.5<6.5kW,6330
2016.0,11.0,6.5<9.5kW,771
2016.0,11.0,9.5<14kW,417
2016.0,11.0,14<25kW,228
2016.0,11.0,25<=100kW,220
2016.0,12.0,<2.5kW,1281
2016.0,12.0,2.5<4.5kW,3937
2016.0,12.0,4.5<6.5kW,6993
2016.0,12.0,6.5<9.5kW,881
2016.0,12.0,9.5<14kW,575
2016.0,12.0,14<25kW,309
2016.0,12.0,25<=100kW,461
2017.0,1.0,<2.5kW,1066
2017.0,1.0,2.5<4.5kW,3056
2017.0,1.0,4.5<6.5kW,4936
2017.0,1.0,6.5<9.5kW,578
2017.0,1.0,9.5<14kW,262
2017.0,1.0,14<25kW,121
2017.0,1.0,25<=100kW,110
2017.0,2.0,<2.5kW,1529
2017.0,2.0,2.5<4.5kW,3739
2017.0,2.0,4.5<6.5kW,6272
2017.0,2.0,6.5<9.5kW,677
2017.0,2.0,9.5<14kW,408
2017.0,2.0,14<25kW,184
2017.0,2.0,25<=100kW,185
2017.0,3.0,<2.5kW,1650
2017.0,3.0,2.5<4.5kW,3961
2017.0,3.0,4.5<6.5kW,6893
2017.0,3.0,6.5<9.5kW,768
2017.0,3.0,9.5<14kW,489
2017.0,3.0,14<25kW,219
2017.0,3.0,25<=100kW,261
2017.0,4.0,<2.5kW,1178
2017.0,4.0,2.5<4.5kW,3121
2017.0,4.0,4.5<6.5kW,5836
2017.0,4.0,6.5<9.5kW,720
2017.0,4.0,9.5<14kW,383
2017.0,4.0,14<25kW,178
2017.0,4.0,25<=100kW,241
2017.0,5.0,<2.5kW,1429
2017.0,5.0,2.5<4.5kW,3878
2017.0,5.0,4.5<6.5kW,7185
2017.0,5.0,6.5<9.5kW,983
2017.0,5.0,9.5<14kW,576
2017.0,5.0,14<25kW,315
2017.0,5.0,25<=100kW,319
2017.0,6.0,<2.5kW,1309
2017.0,6.0,2.5<4.5kW,3537
2017.0,6.0,4.5<6.5kW,7018
2017.0,6.0,6.5<9.5kW,909
2017.0,6.0,9.5<14kW,588
2017.0,6.0,14<25kW,324
2017.0,6.0,25<=100kW,376
2017.0,7.0,<2.5kW,1290
2017.0,7.0,2.5<4.5kW,3559
2017.0,7.0,4.5<6.5kW,7636
2017.0,7.0,6.5<9.5kW,913
2017.0,7.0,9.5<14kW,596
2017.0,7.0,14<25kW,295
2017.0,7.0,25<=100kW,325
2017.0,8.0,<2.5kW,1410
2017.0,8.0,2.5<4.5kW,3683
2017.0,8.0,4.5<6.5kW,8212
2017.0,8.0,6.5<9.5kW,1235
2017.0,8.0,9.5<14kW,700
2017.0,8.0,14<25kW,286
2017.0,8.0,25<=100kW,326
2017.0,9.0,<2.5kW,1157
2017.0,9.0,2.5<4.5kW,3315
2017.0,9.0,4.5<6.5kW,7612
2017.0,9.0,6.5<9.5kW,1268
2017.0,9.0,9.5<14kW,712
2017.0,9.0,14<25kW,290
2017.0,9.0,25<=100kW,326
2017.0,10.0,<2.5kW,1077
2017.0,10.0,2.5<4.5kW,3438
2017.0,10.0,4.5<6.5kW,8380
2017.0,10.0,6.5<9.5kW,1521
2017.0,10.0,9.5<14kW,785
2017.0,10.0,14<25kW,305
2017.0,10.0,25<=100kW,374
2017.0,11.0,<2.5kW,1167
2017.0,11.0,2.5<4.5kW,3709
2017.0,11.0,4.5<6.5kW,9652
2017.0,11.0,6.5<9.5kW,1953
2017.0,11.0,9.5<14kW,1019
2017.0,11.0,14<25kW,416
2017.0,11.0,25<=100kW,442
2017.0,12.0,<2.5kW,1009
2017.0,12.0,2.5<4.5kW,3408
2017.0,12.0,4.5<6.5kW,8987
2017.0,12.0,6.5<9.5kW,2137
2017.0,12.0,9.5<14kW,1082
2017.0,12.0,14<25kW,481
2017.0,12.0,25<=100kW,703
2018.0,1.0,<2.5kW,866
2018.0,1.0,2.5<4.5kW,3056
2018.0,1.0,4.5<6.5kW,7465
2018.0,1.0,6.5<9.5kW,1786
2018.0,1.0,9.5<14kW,702
2018.0,1.0,14<25kW,234
2018.0,1.0,25<=100kW,213
2018.0,2.0,<2.5kW,951
2018.0,2.0,2.5<4.5kW,3483
2018.0,2.0,4.5<6.5kW,8609
2018.0,2.0,6.5<9.5kW,2021
2018.0,2.0,9.5<14kW,921
2018.0,2.0,14<25kW,328
2018.0,2.0,25<=100kW,315
2018.0,3.0,<2.5kW,1050
2018.0,3.0,2.5<4.5kW,3521
2018.0,3.0,4.5<6.5kW,8842
2018.0,3.0,6.5<9.5kW,2493
2018.0,3.0,9.5<14kW,1039
2018.0,3.0,14<25kW,381
2018.0,3.0,25<=100kW,390
2018.0,4.0,<2.5kW,936
2018.0,4.0,2.5<4.5kW,3137
2018.0,4.0,4.5<6.5kW,7805
2018.0,4.0,6.5<9.5kW,2345
2018.0,4.0,9.5<14kW,900
2018.0,4.0,14<25kW,377
2018.0,4.0,25<=100kW,379
2018.0,5.0,<2.5kW,1101
2018.0,5.0,2.5<4.5kW,3494
2018.0,5.0,4.5<6.5kW,8341
2018.0,5.0,6.5<9.5kW,3150
2018.0,5.0,9.5<14kW,1190
2018.0,5.0,14<25kW,451
2018.0,5.0,25<=100kW,494
2018.0,6.0,<2.5kW,840
