year,month,state,size,capacity
2013,12,aus,1,15952
2013,12,aus,2,24884
2013,12,aus,3,3024
2013,12,aus,4,3923
2013,12,aus,5,2611
2013,12,aus,6,3719
2013,12,aus,7,2033
2013,12,aus,8,3387
2013,12,aus,9,0
2013,12,aus,a,0
2014,1,aus,0,5238
2014,1,aus,1,15860
2014,1,aus,2,24471
2014,1,aus,3,3062
2014,1,aus,4,4347
2014,1,aus,5,2693
2014,1,aus,6,3867
2014,1,aus,7,1525
2014,1,aus,8,528
2014,1,aus,9,0
2014,1,aus,a,0
2014,2,aus,0,5746
2014,2,aus,1,17005
2014,2,aus,2,25070
2014,2,aus,3,1939
2014,2,aus,4,2498
2014,2,aus,5,1729
2014,2,aus,6,2280
2014,2,aus,7,1366
2014,2,aus,8,939
2014,2,aus,9,0
2014,2,aus,a,0
2014,3,aus,0,5192
2014,3,aus,1,18027
2014,3,aus,2,25872
2014,3,aus,3,1873
2014,3,aus,4,2553
2014,3,aus,5,2058
2014,3,aus,6,2765
2014,3,aus,7,3446
2014,3,aus,8,900
2014,3,aus,9,0
2014,3,aus,a,0
2014,4,aus,0,4778
2014,4,aus,1,16934
2014,4,aus,2,25675
2014,4,aus,3,1670
2014,4,aus,4,2354
2014,4,aus,5,1590
2014,4,aus,6,2124
2014,4,aus,7,1424
2014,4,aus,8,5260
2014,4,aus,9,0
2014,4,aus,a,0
2014,5,aus,0,5363
2014,5,aus,1,20193
2014,5,aus,2,30807
2014,5,aus,3,2283
2014,5,aus,4,3262
2014,5,aus,5,2429
2014,5,aus,6,3056
2014,5,aus,7,3788
2014,5,aus,8,2659
2014,5,aus,9,20000
2014,5,aus,a,0
2014,6,aus,0,4866
2014,6,aus,1,17454
2014,6,aus,2,28076
2014,6,aus,3,2055
2014,6,aus,4,2550
2014,6,aus,5,2450
2014,6,aus,6,3718
2014,6,aus,7,2957
2014,6,aus,8,969
2014,6,aus,9,0
2014,6,aus,a,0
2014,7,aus,0,5575
2014,7,aus,1,20298
2014,7,aus,2,30330
2014,7,aus,3,2331
2014,7,aus,4,2925
2014,7,aus,5,2926
2014,7,aus,6,4302
2014,7,aus,7,3060
2014,7,aus,8,1678
2014,7,aus,9,0
2014,7,aus,a,0
2014,8,aus,0,5255
2014,8,aus,1,18351
2014,8,aus,2,26864
2014,8,aus,3,2475
2014,8,aus,4,3052
2014,8,aus,5,2735
2014,8,aus,6,3866
2014,8,aus,7,3541
2014,8,aus,8,1084
2014,8,aus,9,0
2014,8,aus,a,0
2014,9,aus,0,6038
2014,9,aus,1,20166
2014,9,aus,2,30558
2014,9,aus,3,2882
2014,9,aus,4,3212
2014,9,aus,5,2747
2014,9,aus,6,4018
2014,9,aus,7,2732
2014,9,aus,8,862
2014,9,aus,9,0
2014,9,aus,a,0
2014,10,aus,0,5643
2014,10,aus,1,21335
2014,10,aus,2,30858
2014,10,aus,3,2791
2014,10,aus,4,3499
2014,10,aus,5,3423
2014,10,aus,6,4001
2014,10,aus,7,3343
2014,10,aus,8,1033
2014,10,aus,9,0
2014,10,aus,a,0
2014,11,aus,0,4316
2014,11,aus,1,18002
2014,11,aus,2,26869
2014,11,aus,3,2805
2014,11,aus,4,3048
2014,11,aus,5,2244
2014,11,aus,6,4414
2014,11,aus,7,3695
2014,11,aus,8,1897
2014,11,aus,9,0
