year,month,size,installations,capacity
2012,4,4.5 to 6.5 kW,3380,17120
2012,4,6.5 to 9.5 kW,127,990
2012,4,9.5 to 14 kW,136,1432
2012,4,14 to 25 kW,43,754
2012,4,25 to 100 kW,21,718
2012,4,100 kW to 5 MW,,0
2012,4,5 MW to 30 MW,,0
2012,4,More than 30 MW,,0
2012,5,Less than 2.5 kW,23135,39697
2012,5,2.5 to 4.5 kW,13479,43662
2012,5,4.5 to 6.5 kW,6246,31537
2012,5,6.5 to 9.5 kW,296,2255
2012,5,9.5 to 14 kW,215,2256
2012,5,14 to 25 kW,60,1052
2012,5,25 to 100 kW,47,1682
2012,5,100 kW to 5 MW,,239
2012,5,5 MW to 30 MW,,0
2012,5,More than 30 MW,,0
2012,6,Less than 2.5 kW,27471,47999
2012,6,2.5 to 4.5 kW,20015,65076
2012,6,4.5 to 6.5 kW,10606,53599
2012,6,6.5 to 9.5 kW,476,3657
2012,6,9.5 to 14 kW,492,5061
2012,6,14 to 25 kW,102,1785
2012,6,25 to 100 kW,51,1877
2012,6,100 kW to 5 MW,,348
2012,6,5 MW to 30 MW,,0
2012,6,More than 30 MW,,0
2012,7,Less than 2.5 kW,11366,19752
2012,7,2.5 to 4.5 kW,9247,30133
2012,7,4.5 to 6.5 kW,4754,24027
2012,7,6.5 to 9.5 kW,163,1258
2012,7,9.5 to 14 kW,147,1530
2012,7,14 to 25 kW,70,1247
2012,7,25 to 100 kW,31,1002
2012,7,100 kW to 5 MW,,0
2012,7,5 MW to 30 MW,,0
2012,7,More than 30 MW,,0
2012,8,Less than 2.5 kW,11366,19599
2012,8,2.5 to 4.5 kW,10119,32934
2012,8,4.5 to 6.5 kW,6021,30435
2012,8,6.5 to 9.5 kW,250,1919
2012,8,9.5 to 14 kW,160,1658
2012,8,14 to 25 kW,48,832
2012,8,25 to 100 kW,29,1034
2012,8,100 kW to 5 MW,,0
2012,8,5 MW to 30 MW,,10000
2012,8,More than 30 MW,,0
2012,9,Less than 2.5 kW,10089,17500
2012,9,2.5 to 4.5 kW,10560,34654
2012,9,4.5 to 6.5 kW,7103,35771
2012,9,6.5 to 9.5 kW,298,2290
2012,9,9.5 to 14 kW,227,2366
2012,9,14 to 25 kW,100,1735
2012,9,25 to 100 kW,45,1574
2012,9,100 kW to 5 MW,,0
2012,9,5 MW to 30 MW,,0
2012,9,More than 30 MW,,0
2012,10,Less than 2.5 kW,9142,15651
2012,10,2.5 to 4.5 kW,8002,26168
2012,10,4.5 to 6.5 kW,4988,25335
2012,10,6.5 to 9.5 kW,227,1733
2012,10,9.5 to 14 kW,148,1547
2012,10,14 to 25 kW,68,1225
2012,10,25 to 100 kW,34,1302
2012,10,100 kW to 5 MW,,465
2012,10,5 MW to 30 MW,,0
2012,10,More than 30 MW,,0
2012,11,Less than 2.5 kW,8890,15307
2012,11,2.5 to 4.5 kW,7983,26019
2012,11,4.5 to 6.5 kW,5107,26085
2012,11,6.5 to 9.5 kW,249,1898
2012,11,9.5 to 14 kW,170,1755
2012,11,14 to 25 kW,60,1065
2012,11,25 to 100 kW,47,1690
2012,11,100 kW to 5 MW,,630
2012,11,5 MW to 30 MW,,0
