year,month,state,capacity
2010,3,qld,5348.0
2010,4,qld,5303.0
2010,5,qld,6389.0
2010,6,qld,8074.0
2010,7,qld,8391.0
2010,8,qld,9308.0
2010,9,qld,9348.0
2010,10,qld,10135.0
2010,11,qld,13440.0
2010,12,qld,9538.0
2011,1,qld,10549.0
2011,2,qld,13576.0
2011,3,qld,18326.0
2011,4,qld,18104.0
2011,5,qld,32791.0
2011,6,qld,49384.0
2011,7,qld,15817.0
2011,8,qld,13497.0
2011,9,qld,13109.0
2011,10,qld,12328.0
2011,11,qld,14609.0
2011,12,qld,13261.0
2012,1,qld,12389.0
2012,2,qld,22112.0
2012,3,qld,25040.0
2012,4,qld,29409.0
2012,5,qld,47497.0
2012,6,qld,67292.0
2012,7,qld,33638.0
2012,8,qld,43774.0
2012,9,qld,37839.0
2012,10,qld,34463.0
2012,11,qld,31312.0
2012,12,qld,36794.0
2013,1,qld,17627.0
2013,2,qld,17249.0
2013,3,qld,21792.0
2013,4,qld,25753.0
2013,5,qld,37040.0
2013,6,qld,53212.0
2013,7,qld,21810.0
2013,8,qld,15326.0
2013,9,qld,14748.0
2013,10,qld,15579.0
2013,11,qld,16211.0
2013,12,qld,13960.0
2014,1,qld,15675.0
2014,2,qld,19922.0
2014,3,qld,21682.0
2014,4,qld,21117.0
2014,5,qld,25094.0
2014,6,qld,23522.0
2014,7,qld,24899.0
2014,8,qld,19848.0
2014,9,qld,20630.0
2014,10,qld,19985.0
2014,11,qld,17216.0
2014,12,qld,17936.0
2015,1,qld,14617.0
2015,2,qld,15855.0
2015,3,qld,17848.0
2015,4,qld,14923.0
2015,5,qld,18040.0
2015,6,qld,16300.0
2015,7,qld,20087.0
2015,8,qld,15983.0
2015,9,qld,17280.0
2015,10,qld,15603.0
2015,11,qld,18919.0
2015,12,qld,14642.0
2016,1,qld,11391.0
2016,2,qld,14596.0
2016,3,qld,13908.0
2016,4,qld,13790.0
2016,5,qld,14779.0
2016,6,qld,16280.0
2016,7,qld,15915.0
2016,8,qld,17464.0
2016,9,qld,17480.0
2016,10,qld,17798.0
2016,11,qld,21592.0
2016,12,qld,27300.0
2017,1,qld,14978.0
2017,2,qld,19740.0
2017,3,qld,47231.0
2017,4,qld,20893.0
2017,5,qld,26581.0
2017,6,qld,25588.0
2017,7,qld,41782.0
2017,8,qld,30080.0
2017,9,qld,29076.0
2017,10,qld,27011.0
2017,11,qld,55494.0
2017,12,qld,110917.0
2018,1,qld,44822.0
2018,2,qld,27945.0
2018,3,qld,327041.0
2018,4,qld,28303.0
2018,5,qld,34699.0
2018,6,qld,37057.0
2018,7,qld,310500.0
2018,8,qld,245059.0
2018,9,qld,367437.0
2018,10,qld,58141.0
2018,11,qld,146100.0
2018,12,qld,126704.0
2019,1,qld,150091.0
2019,2,qld,168721.0
2019,3,qld,41397.0
2019,4,qld,109569.0
2019,5,qld,182004.0
2019,6,qld,134126.0
2019,7,qld,57861.0
2019,8,qld,68719.0
2019,9,qld,54392.0
2019,10,qld,58026.0
2019,11,qld,234463.0
2019,12,qld,65337.0
2020,1,qld,46205.0
2020,2,qld,55592.0
2020,3,qld,65416.0
2020,4,qld,138150.0
2020,5,qld,56130.0
2020,6,qld,66131.0
2020,7,qld,100193.0
2020,8,qld,64356.0
2020,9,qld,68317.0
2020,10,qld,69206.0
2020,11,qld,79661.0
2020,12,qld,221248.0
2021,1,qld,63603.0
2021,2,qld,70531.0
2021,3,qld,79697.0
2021,4,qld,64510.0
2021,5,qld,67863.0
2021,6,qld,69152.0
2021,7,qld,71485.0
2021,8,qld,67302.0
2021,9,qld,68953.0
2021,10,qld,64742.0
2021,11,qld,528553.0
2021,12,qld,281190.0
2022,1,qld,35843.0
2022,2,qld,47751.0
2022,3,qld,56409.0
2022,4,qld,244911.0
2022,5,qld,41051.0
2022,6,qld,36990.0
2007,1,sa,56.0
2007,2,sa,68.0
2007,3,sa,87.0
2007,4,sa,56.0
2007,5,sa,26.0
2007,6,sa,91.0
2007,7,sa,149.0
2007,8,sa,202.0
2007,9,sa,165.0
2007,10,sa,232.0
2007,11,sa,253.0
2007,12,sa,286.0
2008,1,sa,260.0
2008,2,sa,293.0
2008,3,sa,264.0
2008,4,sa,307.0
2008,5,sa,374.0
2008,6,sa,330.0
2008,7,sa,432.0
2008,8,sa,477.0
2008,9,sa,428.0
2008,10,sa,562.0
2008,11,sa,586.0
2008,12,sa,546.0
2009,1,sa,548.0
2009,2,sa,760.0
2009,3,sa,882.0
2009,4,sa,860.0
2009,5,sa,951.0
2009,6,sa,761.0
2009,7,sa,866.0
2009,8,sa,1032.0
2009,9,sa,1136.0
2009,10,sa,2575.0
