year,month,size,count
2016,4,2.5 to 4.5 kW,3353
2016,4,4.5 to 6.5 kW,4438
2016,4,6.5 to 9.5 kW,484
2016,4,9.5 to 14 kW,292
2016,4,14 to 25 kW,154
2016,4,25 to 100 kW,171
2016,5,Less than 2.5 kW,1357
2016,5,2.5 to 4.5 kW,3429
2016,5,4.5 to 6.5 kW,4710
2016,5,6.5 to 9.5 kW,542
2016,5,9.5 to 14 kW,292
2016,5,14 to 25 kW,175
2016,5,25 to 100 kW,186
2016,6,Less than 2.5 kW,1240
2016,6,2.5 to 4.5 kW,3191
2016,6,4.5 to 6.5 kW,4398
2016,6,6.5 to 9.5 kW,498
2016,6,9.5 to 14 kW,333
2016,6,14 to 25 kW,204
2016,6,25 to 100 kW,201
2016,7,Less than 2.5 kW,1296
2016,7,2.5 to 4.5 kW,3232
2016,7,4.5 to 6.5 kW,4373
2016,7,6.5 to 9.5 kW,517
2016,7,9.5 to 14 kW,346
2016,7,14 to 25 kW,181
2016,7,25 to 100 kW,188
2016,8,Less than 2.5 kW,1472
2016,8,2.5 to 4.5 kW,3588
2016,8,4.5 to 6.5 kW,5057
2016,8,6.5 to 9.5 kW,560
2016,8,9.5 to 14 kW,361
2016,8,14 to 25 kW,222
2016,8,25 to 100 kW,203
2016,9,Less than 2.5 kW,1229
2016,9,2.5 to 4.5 kW,3452
2016,9,4.5 to 6.5 kW,5207
2016,9,6.5 to 9.5 kW,569
2016,9,9.5 to 14 kW,397
2016,9,14 to 25 kW,216
2016,9,25 to 100 kW,242
2016,10,Less than 2.5 kW,1300
2016,10,2.5 to 4.5 kW,3170
2016,10,4.5 to 6.5 kW,5181
2016,10,6.5 to 9.5 kW,603
2016,10,9.5 to 14 kW,387
2016,10,14 to 25 kW,184
2016,10,25 to 100 kW,234
2016,11,Less than 2.5 kW,1371
2016,11,2.5 to 4.5 kW,4098
2016,11,4.5 to 6.5 kW,6330
2016,11,6.5 to 9.5 kW,771
2016,11,9.5 to 14 kW,417
2016,11,14 to 25 kW,228
2016,11,25 to 100 kW,220
2016,12,Less than 2.5 kW,1281
2016,12,2.5 to 4.5 kW,3937
2016,12,4.5 to 6.5 kW,6993
2016,12,6.5 to 9.5 kW,881
2016,12,9.5 to 14 kW,575
2016,12,14 to 25 kW,309
2016,12,25 to 100 kW,461
2017,1,Less than 2.5 kW,1066
2017,1,2.5 to 4.5 kW,3056
2017,1,4.5 to 6.5 kW,4936
2017,1,6.5 to 9.5 kW,578
2017,1,9.5 to 14 kW,262
2017,1,14 to 25 kW,121
2017,1,25 to 100 kW,110
2017,2,Less than 2.5 kW,1529
2017,2,2.5 to 4.5 kW,3739
2017,2,4.5 to 6.5 kW,6272
2017,2,6.5 to 9.5 kW,677
2017,2,9.5 to 14 kW,408
2017,2,14 to 25 kW,184
2017,2,25 to 100 kW,185
2017,3,Less than 2.5 kW,1650
2017,3,2.5 to 4.5 kW,3961
2017,3,4.5 to 6.5 kW,6893
2017,3,6.5 to 9.5 kW,768
2017,3,9.5 to 14 kW,489
2017,3,14 to 25 kW,219
2017,3,25 to 100 kW,261
2017,4,Less than 2.5 kW,1178
2017,4,2.5 to 4.5 kW,3121
2017,4,4.5 to 6.5 kW,5836
2017,4,6.5 to 9.5 kW,720
2017,4,9.5 to 14 kW,383
2017,4,14 to 25 kW,178
2017,4,25 to 100 kW,241
2017,5,Less than 2.5 kW,1429
2017,5,2.5 to 4.5 kW,3878
2017,5,4.5 to 6.5 kW,7185
2017,5,6.5 to 9.5 kW,983
2017,5,9.5 to 14 kW,576
2017,5,14 to 25 kW,315
2017,5,25 to 100 kW,319
2017,6,Less than 2.5 kW,1309
2017,6,2.5 to 4.5 kW,3537
2017,6,4.5 to 6.5 kW,7018
2017,6,6.5 to 9.5 kW,909
2017,6,9.5 to 14 kW,588
2017,6,14 to 25 kW,324
2017,6,25 to 100 kW,376
2017,7,Less than 2.5 kW,1290
2017,7,2.5 to 4.5 kW,3559
2017,7,4.5 to 6.5 kW,7636
2017,7,6.5 to 9.5 kW,913
2017,7,9.5 to 14 kW,596
2017,7,14 to 25 kW,295
2017,7,25 to 100 kW,325
2017,8,Less than 2.5 kW,1410
2017,8,2.5 to 4.5 kW,3683
2017,8,4.5 to 6.5 kW,8212
2017,8,6.5 to 9.5 kW,1235
2017,8,9.5 to 14 kW,700
2017,8,14 to 25 kW,286
2017,8,25 to 100 kW,326
2017,9,Less than 2.5 kW,1157
2017,9,2.5 to 4.5 kW,3315
2017,9,4.5 to 6.5 kW,7612
2017,9,6.5 to 9.5 kW,1268
2017,9,9.5 to 14 kW,712
2017,9,14 to 25 kW,290
2017,9,25 to 100 kW,326
2017,10,Less than 2.5 kW,1077
2017,10,2.5 to 4.5 kW,3438
2017,10,4.5 to 6.5 kW,8380
2017,10,6.5 to 9.5 kW,1521
2017,10,9.5 to 14 kW,785
2017,10,14 to 25 kW,305
2017,10,25 to 100 kW,374
2017,11,Less than 2.5 kW,1167
2017,11,2.5 to 4.5 kW,3709
2017,11,4.5 to 6.5 kW,9652
2017,11,6.5 to 9.5 kW,1953
2017,11,9.5 to 14 kW,1019
2017,11,14 to 25 kW,416
2017,11,25 to 100 kW,442
2017,12,Less than 2.5 kW,1009
2017,12,2.5 to 4.5 kW,3408
2017,12,4.5 to 6.5 kW,8987
2017,12,6.5 to 9.5 kW,2137
2017,12,9.5 to 14 kW,1082
2017,12,14 to 25 kW,481
2017,12,25 to 100 kW,703
2018,1,Less than 2.5 kW,866
2018,1,2.5 to 4.5 kW,3056
2018,1,4.5 to 6.5 kW,7465
2018,1,6.5 to 9.5 kW,1786
2018,1,9.5 to 14 kW,702
2018,1,14 to 25 kW,234
2018,1,25 to 100 kW,213
2018,2,Less than 2.5 kW,951
2018,2,2.5 to 4.5 kW,3483
2018,2,4.5 to 6.5 kW,8609
2018,2,6.5 to 9.5 kW,2021
2018,2,9.5 to 14 kW,921
2018,2,14 to 25 kW,328
2018,2,25 to 100 kW,315
2018,3,Less than 2.5 kW,1050
2018,3,2.5 to 4.5 kW,3521
2018,3,4.5 to 6.5 kW,8842
2018,3,6.5 to 9.5 kW,2493
2018,3,9.5 to 14 kW,1039
2018,3,14 to 25 kW,381
2018,3,25 to 100 kW,390
2018,4,Less than 2.5 kW,936
2018,4,2.5 to 4.5 kW,3137
2018,4,4.5 to 6.5 kW,7805
2018,4,6.5 to 9.5 kW,2345
2018,4,9.5 to 14 kW,900
2018,4,14 to 25 kW,377
2018,4,25 to 100 kW,379
2018,5,Less than 2.5 kW,1101
2018,5,2.5 to 4.5 kW,3494
2018,5,4.5 to 6.5 kW,8341
2018,5,6.5 to 9.5 kW,3150
2018,5,9.5 to 14 kW,1190
2018,5,14 to 25 kW,451
2018,5,25 to 100 kW,494
2018,6,Less than 2.5 kW,840
2018,6,2.5 to 4.5 kW,2783
2018,6,4.5 to 6.5 kW,7126
2018,6,6.5 to 9.5 kW,3583
2018,6,9.5 to 14 kW,1105
2018,6,14 to 25 kW,481
2018,6,25 to 100 kW,506
2018,7,Less than 2.5 kW,863
2018,7,2.5 to 4.5 kW,2883
2018,7,4.5 to 6.5 kW,7589
2018,7,6.5 to 9.5 kW,4519
2018,7,9.5 to 14 kW,1224
2018,7,14 to 25 kW,437
2018,7,25 to 100 kW,414
2018,8,Less than 2.5 kW,901
2018,8,2.5 to 4.5 kW,3064
2018,8,4.5 to 6.5 kW,7709
2018,8,6.5 to 9.5 kW,5472
2018,8,9.5 to 14 kW,1278
2018,8,14 to 25 kW,502
2018,8,25 to 100 kW,451
2018,9,Less than 2.5 kW,763
2018,9,2.5 to 4.5 kW,2893
2018,9,4.5 to 6.5 kW,7284
2018,9,6.5 to 9.5 kW,6150
2018,9,9.5 to 14 kW,1173
2018,9,14 to 25 kW,392
2018,9,25 to 100 kW,394
2018,10,Less than 2.5 kW,849
2018,10,2.5 to 4.5 kW,3262
2018,10,4.5 to 6.5 kW,8204
2018,10,6.5 to 9.5 kW,7502
2018,10,9.5 to 14 kW,1405
2018,10,14 to 25 kW,426
2018,10,25 to 100 kW,471
2018,11,Less than 2.5 kW,939
2018,11,2.5 to 4.5 kW,3310
2018,11,4.5 to 6.5 kW,8975
