year,month,state,size,capacity
2020,4,aus,0,10
2020,4,aus,1,126
2020,4,aus,2,42
2020,4,aus,3,27
2020,4,aus,4,20
2020,4,aus,5,112
2020,5,aus,0,11
2020,5,aus,1,131
2020,5,aus,2,46
2020,5,aus,3,30
2020,5,aus,4,7
2020,5,aus,5,0
2020,6,aus,0,10
2020,6,aus,1,142
2020,6,aus,2,52
2020,6,aus,3,42
2020,6,aus,4,34
2020,6,aus,5,221
2020,7,aus,0,10
2020,7,aus,1,164
2020,7,aus,2,58
2020,7,aus,3,32
2020,7,aus,4,18
2020,7,aus,5,33
2020,8,aus,0,8
2020,8,aus,1,137
2020,8,aus,2,54
2020,8,aus,3,25
2020,8,aus,4,11
2020,8,aus,5,0
2020,9,aus,0,8
2020,9,aus,1,150
2020,9,aus,2,66
2020,9,aus,3,28
2020,9,aus,4,19
2020,9,aus,5,256
2020,10,aus,0,9
2020,10,aus,1,160
2020,10,aus,2,66
2020,10,aus,3,31
2020,10,aus,4,8
2020,10,aus,5,39
2020,11,aus,0,9
2020,11,aus,1,187
2020,11,aus,2,81
2020,11,aus,3,38
2020,11,aus,4,5
2020,11,aus,5,306
2020,12,aus,0,8
2020,12,aus,1,171
2020,12,aus,2,94
2020,12,aus,3,58
2020,12,aus,4,57
2020,12,aus,5,388
2021,1,aus,0,7
2021,1,aus,1,133
2021,1,aus,2,54
2021,1,aus,3,12
2021,1,aus,4,31
2021,1,aus,5,0
2021,2,aus,0,9
2021,2,aus,1,163
2021,2,aus,2,76
2021,2,aus,3,22
2021,2,aus,4,21
2021,2,aus,5,139
2021,3,aus,0,10
2021,3,aus,1,173
2021,3,aus,2,87
2021,3,aus,3,28
2021,3,aus,4,51
2021,3,aus,5,0
2021,4,aus,0,9
2021,4,aus,1,150
2021,4,aus,2,80
2021,4,aus,3,25
2021,4,aus,4,23
2021,4,aus,5,0
2021,5,aus,0,9
2021,5,aus,1,136
2021,5,aus,2,79
2021,5,aus,3,34
2021,5,aus,4,25
2021,5,aus,5,71
2021,6,aus,0,9
2021,6,aus,1,137
2021,6,aus,2,81
2021,6,aus,3,39
2021,6,aus,4,6
2021,6,aus,5,153
2021,7,aus,0,8
2021,7,aus,1,132
2021,7,aus,2,77
2021,7,aus,3,29
2021,7,aus,4,7
2021,7,aus,5,78
2021,8,aus,0,7
2021,8,aus,1,129
2021,8,aus,2,78
2021,8,aus,3,26
2021,8,aus,4,41
2021,8,aus,5,190
2021,9,aus,0,7
2021,9,aus,1,129
2021,9,aus,2,91
2021,9,aus,3,26
2021,9,aus,4,20
2021,9,aus,5,0
2021,10,aus,0,6
2021,10,aus,1,125
2021,10,aus,2,88
2021,10,aus,3,32
2021,10,aus,4,9
2021,10,aus,5,119
2021,11,aus,0,7
2021,11,aus,1,137
2021,11,aus,2,95
2021,11,aus,3,37
2021,11,aus,4,53
2021,11,aus,5,570
2021,12,aus,0,6
2021,12,aus,1,131
2021,12,aus,2,113
2021,12,aus,3,57
2021,12,aus,4,13
2021,12,aus,5,202
2022,1,aus,0,3
2022,1,aus,1,78
2022,1,aus,2,46
2022,1,aus,3,6
2022,1,aus,4,1
2022,1,aus,5,0
2022,2,aus,0,5
2022,2,aus,1,105
2022,2,aus,2,71
2022,2,aus,3,12
2022,2,aus,4,12
2022,2,aus,5,0
2022,3,aus,0,6
2022,3,aus,1,109
2022,3,aus,2,74
2022,3,aus,3,18
2022,3,aus,4,13
2022,3,aus,5,141
2022,4,aus,0,4
2022,4,aus,1,81
2022,4,aus,2,61
2022,4,aus,3,15
2022,4,aus,4,16
2022,4,aus,5,199
2022,5,aus,0,4
2022,5,aus,1,84
2022,5,aus,2,62
2022,5,aus,3,13
2022,5,aus,4,2
2022,5,aus,5,0
2022,6,aus,0,2
2022,6,aus,1,61
2022,6,aus,2,46
2022,6,aus,3,5
2022,6,aus,4,0
2022,6,aus,5,0
2007,1,nsw+act,0,0
2007,1,nsw+act,1,0
2007,1,nsw+act,2,0
2007,1,nsw+act,3,0
2007,1,nsw+act,4,0
2007,1,nsw+act,5,0
2007,2,nsw+act,0,0
2007,2,nsw+act,1,0
2007,2,nsw+act,2,0
2007,2,nsw+act,3,0
2007,2,nsw+act,4,0
2007,2,nsw+act,5,0
2007,3,nsw+act,0,0
2007,3,nsw+act,1,0
2007,3,nsw+act,2,0
2007,3,nsw+act,3,0
2007,3,nsw+act,4,0
2007,3,nsw+act,5,0
2007,4,nsw+act,0,0
2007,4,nsw+act,1,0
2007,4,nsw+act,2,0
2007,4,nsw+act,3,0
2007,4,nsw+act,4,0
2007,4,nsw+act,5,0
2007,5,nsw+act,0,0
2007,5,nsw+act,1,0
2007,5,nsw+act,2,0
2007,5,nsw+act,3,0
2007,5,nsw+act,4,0
2007,5,nsw+act,5,0
2007,6,nsw+act,0,0
2007,6,nsw+act,1,0
2007,6,nsw+act,2,0
2007,6,nsw+act,3,0
2007,6,nsw+act,4,0
2007,6,nsw+act,5,0
